Number,File Name,Topic 0 Probability,Topic 1 Probability,Topic 2 Probability
0,file:/C:/Anish's%20Work/Eclipse%20Workspace/TACIT/edu.usc.cssl.tacit.topicmodel.lda/TestData/InputFiles/LDAData1.txt,0.9989062674031749,6.42438605207276E-4,4.512939916178374E-4
1,file:/C:/Anish's%20Work/Eclipse%20Workspace/TACIT/edu.usc.cssl.tacit.topicmodel.lda/TestData/InputFiles/LDAData2.txt,2.586748633278763E-4,0.04114419721879523,0.958597127917877
2,file:/C:/Anish's%20Work/Eclipse%20Workspace/TACIT/edu.usc.cssl.tacit.topicmodel.lda/TestData/InputFiles/LDAData3.txt,3.4310755806279817E-4,0.9993432800303662,3.1361241157099875E-4
