Topic0, ,Topic1, ,Topic2, ,
Word,Probability,Word,Probability,Word,Probability,
the,0.06021811284969179,the,0.06418101608083107,of,0.04987193008889559,
to,0.053896001264422316,and,0.06418101608083107,the,0.034804881723670335,
of,0.049154417575470205,rock,0.04141169773729899,a,0.033298176887147805,
is,0.023865971234392283,of,0.027180873772591433,and,0.02727135754105771,
or,0.022285443338074914,in,0.027180873772591433,in,0.022751243031490127,
NLP,0.017543859649122806,music,0.02575779137612068,often,0.015217718848877503,
as,0.015963331752805437,a,0.020065461790237653,paper,0.015217718848877503,
an,0.014382803856488066,guitar,0.01437313220435463,In,0.013711014012354979,
on,0.012802275960170695,which,0.012950049807883874,with,0.013711014012354979,
for,0.012802275960170695,electric,0.010103885014942363,are,0.013711014012354979,
in,0.011221748063853326,bass,0.010103885014942363,was,0.012204309175832453,
such,0.011221748063853326,solos,0.010103885014942363,which,0.010697604339309929,
evaluation,0.011221748063853326,The,0.008680802618471609,use,0.010697604339309929,
and,0.009641220167535956,as,0.008680802618471609,this,0.010697604339309929,
language,0.009641220167535956,that,0.008680802618471609,folding,0.010697604339309929,
system,0.009641220167535956,by,0.008680802618471609,Japanese,0.010697604339309929,
its,0.008060692271218585,blues,0.008680802618471609,origami,0.010697604339309929,
The,0.006480164374901216,other,0.008680802618471609,The,0.009190899502787403,
from,0.006480164374901216,Rock,0.007257720222000853,is,0.009190899502787403,
models,0.006480164374901216,genre,0.007257720222000853,used,0.0076841946662648776,
more,0.006480164374901216,guitarists,0.007257720222000853,some,0.0076841946662648776,
problem,0.006480164374901216,metal,0.007257720222000853,culture,0.0076841946662648776,
generally,0.004899636478583847,including,0.007257720222000853,be,0.0061774898297423525,
can,0.004899636478583847,1950s,0.0058346378255300976,were,0.0061774898297423525,
published,0.004899636478583847,from,0.0058346378255300976,has,0.0061774898297423525,
which,0.004899636478583847,roll,0.0058346378255300976,into,0.0061774898297423525,
systems,0.004899636478583847,United,0.0058346378255300976,been,0.0061774898297423525,
there,0.004899636478583847,1960s,0.0058346378255300976,part,0.0061774898297423525,
processing,0.004899636478583847,rhythm,0.0058346378255300976,period,0.0061774898297423525,
has,0.004899636478583847,also,0.0058346378255300976,cuts,0.0061774898297423525,
make,0.004899636478583847,genres,0.0058346378255300976,designs,0.0061774898297423525,
input,0.004899636478583847,sound,0.0058346378255300976,these,0.0061774898297423525,
data,0.004899636478583847,emerged,0.0058346378255300976,as,0.004670784993219828,
one,0.004899636478583847,usually,0.0058346378255300976,most,0.004670784993219828,
include,0.004899636478583847,pop,0.0058346378255300976,This,0.004670784993219828,
their,0.004899636478583847,solo,0.0058346378255300976,variety,0.004670784993219828,
it,0.004899636478583847,have,0.0058346378255300976,techniques,0.004670784993219828,
history,0.003319108582266477,with,0.004411555429059342,traditional,0.004670784993219828,
although,0.003319108582266477,States,0.004411555429059342,during,0.004670784993219828,
work,0.003319108582266477,influenced,0.004411555429059342,had,0.004670784993219828,
Turing,0.003319108582266477,country,0.004411555429059342,practices,0.004670784993219828,
now,0.003319108582266477,form,0.004411555429059342,square,0.004670784993219828,
a,0.003319108582266477,heavy,0.004411555429059342,Chinese,0.004670784993219828,
intelligence,0.003319108582266477,effects,0.004411555429059342,model,0.004670784993219828,
1980s,0.003319108582266477,much,0.004411555429059342,about,0.004670784993219828,
most,0.003319108582266477,lead,0.004411555429059342,paperfolding,0.004670784993219828,
based,0.003319108582266477,late,0.002988473032588587,Japan,0.004670784993219828,
complex,0.003319108582266477,has,0.002988473032588587,Yoshizawa,0.004670784993219828,
rules,0.003319108582266477,are,0.002988473032588587,introduction,0.003164080156697303,
however,0.003319108582266477,originated,0.002988473032588587,due,0.003164080156697303,
