Word,Count,achieve,adverb,affect,article,assent,auxverb,bio,body,cause,certain,cogmech,conj,discrep,excl,funct,future,hear,i,incl,inhib,insight,ipron,money,motion,negate,negemo,number,past,percept,posemo,ppron,preps,present,pronoun,quant,relativ,sad,see,shehe,social,space,tentat,they,time,verb,we,work,you,
business,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.285714285714286,0,0,3.5714285714285716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
but,3,0,0,0,0,0,6.0,0,0,0,0.6550218340611353,2.0689655172413794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666666666666668,0,0,0,
can,2,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,0,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,0,0,0,3.1746031746031744,0,0,0,0,0,
change,1,0,0,12.5,0,0,0,0,0,0,0,0.6896551724137931,0,0,0,0,0,0,0,0,0.8695652173913043,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
check,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.571428571428573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
closely,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8695652173913043,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
come,1,0,0,0,0,0,0,0,0,0,0,0.6896551724137931,0,0,0,0,0,0,0,0.6097560975609756,0.8695652173913043,0,0,0,5.0,2.4390243902439024,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,0,0,0,0,0,0,
couldn't,1,0,0,0,5.0,0,0,0,0,0,0.2183406113537118,0.6896551724137931,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,4.761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5873015873015872,0,0,0,0,0,
create,1,0,0,12.5,0,0,0,0,6.25,0,0,0.6896551724137931,0,1.5151515151515151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5714285714285716,
did,3,0,0,0,0,0,0,0,0,0,0.6550218340611353,0,0,0,0,0,0,0,0,1.829268292682927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.477611940298507,0,0,0,0,0,0,0,4.761904761904762,0,0,0,0,0,
didn't,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,4.761904761904762,0,0,0,0,0,0,1.492537313432836,0,0,0,0,0,0,0,1.5873015873015872,0,0,0,0,0,
do,2,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,0,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,0,0,0,3.1746031746031744,0,0,0,0,0,
don't,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,4.761904761904762,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,1.5873015873015872,0,0,0,0,0,
done,2,0,0,0,0,0,0,0,0,0,0.4366812227074236,0,0,0,0,0,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.985074626865672,0,0,0,0,0,0,0,3.1746031746031744,0,0,0,0,0,
either,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0.6896551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037037,5.555555555555555,0,0,0,
email,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3478260869565215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
emailing,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
even,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,3.225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
expect,1,0,0,0,5.0,0,0,0,0,0,0,0.6896551724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
face,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,
few,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7037037037037037,0,0,0,0,
follow,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2195121951219512,1.7391304347826086,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,0,0,0,0,0,0,0,0,0,
for,5,0,0,0,0,0,0,0,0,0,1.091703056768559,0,0,0,0,0,3.8461538461538463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
forgot,2,0,0,0,0,0,0,0,0,0,0,1.3793103448275863,0,0,0,0,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,66.66666666666667,0,0,0,0,0,0,0,2.985074626865672,0,0,0,0,0,0,0,0,0,0,0,0,0,
get,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2195121951219512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,0,0,0,0,0,0,0,0,0,
give,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6097560975609756,0,0,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,0,0,0,0,0,0,
go,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2195121951219512,1.7391304347826086,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,0,0,0,0,0,0,0,0,0,
group,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
had,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.492537313432836,0,0,0,0,0,0,0,1.5873015873015872,0,0,0,0,0,
has,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,1.5873015873015872,0,0,0,0,0,
hasn't,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,4.761904761904762,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,1.5873015873015872,0,0,0,0,0,
have,6,0,0,0,0,0,0,0,0,0,1.3100436681222707,0,0,0,0,0,0,0,0,3.658536585365854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,9.523809523809524,0,0,0,0,0,
haven't,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0.6097560975609756,0,0,0,0,0,0,0,0,4.761904761904762,0,0,0,0,0,0,0,0,0,0,1.3333333333333333,0,0,0,1.5873015873015872,0,0,0,0,0,
he,1,0,0,0,0,0,0,0,0,0,0.2183406113537118,0,0,0,0,0,0,0,0,0,0,0,0.8695652173913043,0,0,0,0,0,0,100.0,1.1494252873563218,0.8695652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
